2025-02-18 11:20:39,178 - INFO - Combinaciones leídas: 31
2025-02-18 11:27:01,641 - INFO - Símbolos de dólar y puntos eliminados de los precios.
2025-02-18 11:27:01,869 - INFO - Resultados guardados en la base de datos
2025-02-18 16:46:50,234 - INFO - Combinaciones leídas: 31
2025-02-18 16:47:09,098 - INFO - Precios obtenidos: SANTIAGO CENTRO -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$4.573'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$5.973'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$7.000'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$8.111'}]
2025-02-18 16:47:21,090 - INFO - Precios obtenidos: SANTIAGO CENTRO -> CONCEPCION: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'CONCEPCION', 'tamaño': 'XS', 'precio': '$5.558'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'CONCEPCION', 'tamaño': 'S', 'precio': '$8.485'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'CONCEPCION', 'tamaño': 'M', 'precio': '$12.652'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'CONCEPCION', 'tamaño': 'XL', 'precio': '$15.105'}]
2025-02-18 16:47:32,903 - INFO - Precios obtenidos: CONCEPCION -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$5.702'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$7.350'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$11.409'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$14.165'}]
2025-02-18 16:47:44,737 - INFO - Precios obtenidos: VINA DEL MAR -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$5.032'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$6.327'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$9.633'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$12.887'}]
2025-02-18 16:47:56,570 - INFO - Precios obtenidos: SANTIAGO CENTRO -> VALDIVIA: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VALDIVIA', 'tamaño': 'XS', 'precio': '$8.109'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VALDIVIA', 'tamaño': 'S', 'precio': '$9.789'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VALDIVIA', 'tamaño': 'M', 'precio': '$14.729'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VALDIVIA', 'tamaño': 'XL', 'precio': '$16.619'}]
2025-02-18 16:48:08,621 - INFO - Precios obtenidos: SANTIAGO CENTRO -> VINA DEL MAR: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VINA DEL MAR', 'tamaño': 'XS', 'precio': '$5.470'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VINA DEL MAR', 'tamaño': 'S', 'precio': '$7.080'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VINA DEL MAR', 'tamaño': 'M', 'precio': '$12.330'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'VINA DEL MAR', 'tamaño': 'XL', 'precio': '$14.593'}]
2025-02-18 16:48:22,935 - INFO - Precios obtenidos: VALDIVIA -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$7.119'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$9.047'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$16.148'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$22.631'}]
2025-02-18 16:48:35,218 - INFO - Precios obtenidos: SANTIAGO CENTRO -> LA SERENA: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'LA SERENA', 'tamaño': 'XS', 'precio': '$6.253'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'LA SERENA', 'tamaño': 'S', 'precio': '$9.343'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'LA SERENA', 'tamaño': 'M', 'precio': '$13.377'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'LA SERENA', 'tamaño': 'XL', 'precio': '$15.487'}]
